StockA,StockB,LotA,LotB,Margin
INFY.NS,HCLTECH.NS,400,700,300000
INFY.NS,TCS.NS,400,175,300000
HDFCBANK.NS,KOTAKBANK.NS,550,400,300000
ICICIBANK.NS,AXISBANK.NS,700,625,300000
ACC.NS,AMBUJACEM.NS,300,1800,300000
TATASTEEL.NS,HINDALCO.NS,5500,1400,300000
BAJFINANCE.NS,BAJAJFINSV.NS,125,500,300000
PFC.NS,RECLTD.NS,6200,8000,300000
TECHM.NS,WIPRO.NS,600,1500,300000
MOTHERSUMI.NS,TATAMOTORS.NS,7100,1425,300000
ZEEL.NS,SUNTV.NS,3000,1500,300000
APOLLOTYRE.NS,MRF.NS,1700,10,300000
INDUSINDBK.NS,BANDHANBNK.NS,500,2500,300000
ONGC.NS,GAIL.NS,3850,9150,300000
ONGC.NS,NTPC.NS,3850,3000,300000
ICICIBANK.NS,KOTAKBANK.NS,700,400,300000
ESCORTS.NS,BALKRISIND.NS,275,300,300000
HCLTECH.NS,WIPRO.NS,700,1500,300000
DLF.NS,LT.NS,1650,300,300000
DLF.NS,GODREJPROP.NS,1650,475,300000
ULTRACEMCO.NS,GRASIM.NS,100,475,300000
ASIANPAINT.NS,BERGEPAINT.NS,200,1100,300000
HCLTECH.NS,INFY.NS,700,400,300000
GAIL.NS,NTPC.NS,9510,3000,300000
WIPRO.NS,INFY.NS,1500,400,300000
JSWSTEEL.NS,HINDALCO.NS,1350,1400,300000
FEDERALBNK.NS,RBLBANK.NS,5000,5000,300000
SUNPHARMA.NS,AUROPHARMA.NS,700,1100,300000
IOC.NS,HINDPETRO.NS,9750,2700,300000
INDEXNIFTY_BANK.NS,ICICIBANK.NS,15,700,300000
INDEXNIFTY_BANK.NS,HDFCBANK.NS,15,550,300000
INDEXNIFTY_BANK.NS,AXISBANK.NS,15,625,300000
