,LOT,Margin,SYMBOL,,,
APOLLOTYRE.NS,1700,729045,APOLLOTYRE.NS,,APOLLO TYRES LIMITED. (XNSE:APOLLOTYRE), ₹ 428.85 
ASTRAL.NS,367,655333.55,ASTRAL.NS,,ASTRAL LIMITED (XNSE:ASTRAL)," ₹ 1,785.65 "
ABFRL.NS,2600,559130,ABFRL.NS,,Aditya Birla Fashion and Retail Limited (XNSE:ABFRL), ₹ 215.05 
ALKEM.NS,200,697530,ALKEM.NS,,ALKEM LABORATORIES LIMITED (XNSE:ALKEM)," ₹ 3,487.65 "
ABB.NS,250,1092412.5,ABB.NS,,ABB India Limited (XNSE:ABB)," ₹ 4,369.65 "
BEL.NS,5700,701100,BEL.NS,,BHARAT ELECTRONICS LIMITED (XNSE:BEL), ₹ 123.00 
AUBANK.NS,1000,763750,AUBANK.NS,,AU SMALL FINANCE BANK LIMITED (XNSE:AUBANK), ₹ 763.75 
AXISBANK.NS,625,602531.25,AXISBANK.NS,,Axis Bank Limited (XNSE:AXISBANK), ₹ 964.05 
BAJFINANCE.NS,125,941656.25,BAJFINANCE.NS,,BAJAJ FINANCE LIMITED (XNSE:BAJFINANCE)," ₹ 7,533.25 "
BALKRISIND.NS,300,685380,BALKRISIND.NS,,BALKRISHNA INDUSTRIES LIMITED (XNSE:BALKRISIND)," ₹ 2,284.60 "
AARTIIND.NS,1000,454100,AARTIIND.NS,,AARTI INDUSTRIES LTD (XNSE:AARTIIND), ₹ 454.10 
BATAINDIA.NS,375,626437.5,BATAINDIA.NS,,BATA INDIA LTD (XNSE:BATAINDIA)," ₹ 1,670.50 "
BERGEPAINT.NS,1100,733315,BERGEPAINT.NS,,BERGER PAINTS INDIA LIMITED (XNSE:BERGEPAINT), ₹ 666.65 
ASHOKLEY.NS,5000,816000,ASHOKLEY.NS,,ASHOK LEYLAND LIMITED (XNSE:ASHOKLEY), ₹ 163.20 
COFORGE.NS,150,691695,COFORGE.NS,,COFORGE LIMITED (XNSE:COFORGE)," ₹ 4,611.30 "
CUMMINSIND.NS,600,1135980,CUMMINSIND.NS,,CUMMINS INDIA LIMITED (XNSE:CUMMINSIND)," ₹ 1,893.30 "
ABCAPITAL.NS,5400,999000,ABCAPITAL.NS,,ADITYA BIRLA CAPITAL LIMITED (XNSE:ABCAPITAL), ₹ 185.00 
ADANIENT.NS,300,723075,ADANIENT.NS,,ADANI ENTERPRISES LIMITED (XNSE:ADANIENT)," ₹ 2,410.25 "
ADANIPORTS.NS,800,576080,ADANIPORTS.NS,,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED (XNSE:ADANIPORTS), ₹ 720.10 
DIVISLAB.NS,200,727990,DIVISLAB.NS,,DIVI'S LABORATORIES LIMITED (XNSE:DIVISLAB)," ₹ 3,639.95 "
AMBUJACEM.NS,1800,755100,AMBUJACEM.NS,,AMBUJA CEMENTS LIMITED (XNSE:AMBUJACEM), ₹ 419.50 
DIXON.NS,200,847700,DIXON.NS,,DIXON TECHNOLOGIES (INDIA) LIMITED (XNSE:DIXON)," ₹ 4,238.50 "
APOLLOHOSP.NS,125,644793.75,APOLLOHOSP.NS,,APOLLO HOSPITALS ENTERPRISE LIMITED (XNSE:APOLLOHOSP)," ₹ 5,158.35 "
EICHERMOT.NS,175,555432.5,EICHERMOT.NS,,EICHER MOTORS LIMITED (XNSE:EICHERMOT)," ₹ 3,173.90 "
